onset	duration	nEvent	EventType	channel
1.417	0.016	1	FR	17-18
43.436	0.0125	2	FR	18-19
59.6	0.017	3	FR	18-19
59.9245	0.016	4	FR	18-19
64.043	0.024	5	FR	25-26
70.3855	0.0145	6	FR	25-26
