onset	duration	nEvent	EventType	channel
0.2875	0.0145	1	FR	01-02
57.0365	0.0125	2	FR	01-02
60.7985	0.044	3	FR	01-02
67.7375	0.0395	4	FR	01-02
130.781	0.0315	5	FR	01-02
161.6825	0.019	6	FR	01-02
163.475	0.017	7	FR	01-02
180.0295	0.0155	8	FR	01-02
245.667	0.0185	9	FR	01-02
246.8445	0.016	10	FR	01-02
259.493	0.0215	11	FR	01-02
262.54	0.0245	12	FR	01-02
264.2525	0.024	13	FR	01-02
267.911	0.013	14	FR	01-02
273.0235	0.0215	15	FR	01-02
274.765	0.017	16	FR	01-02
280.844	0.014	17	FR	01-02
282.3845	0.0225	18	FR	01-02
381.7335	0.0175	19	FR	01-02
382.9915	0.0185	20	FR	01-02
384.123	0.0205	21	FR	01-02
408.466	0.0195	22	FR	01-02
416.9065	0.015	23	FR	01-02
0.2875	0.0215	24	FR	02-03
57.0375	0.0205	25	FR	02-03
58.5855	0.0125	26	FR	02-03
60.7865	0.0475	27	FR	02-03
67.732	0.0695	28	FR	02-03
117.0095	0.012	29	FR	02-03
130.779	0.0335	30	FR	02-03
161.682	0.0145	31	FR	02-03
168.717	0.022	32	FR	02-03
240.8955	0.014	33	FR	02-03
267.911	0.013	34	FR	02-03
269.8145	0.027	35	FR	02-03
280.844	0.0165	36	FR	02-03
289.512	0.0175	37	FR	02-03
293.8065	0.014	38	FR	02-03
299.746	0.0145	39	FR	02-03
393.0555	0.0225	40	FR	02-03
410.139	0.022	41	FR	02-03
411.3315	0.0145	42	FR	02-03
413.3835	0.016	43	FR	02-03
143.62	0.01	44	FR	03-04
152.071	0.022	45	FR	03-04
152.2865	0.0155	46	FR	03-04
159.8335	0.0155	47	FR	03-04
161.695	0.019	48	FR	03-04
180.0315	0.0165	49	FR	03-04
214.0755	0.014	50	FR	03-04
240.893	0.0155	51	FR	03-04
242.4815	0.0165	52	FR	03-04
246.839	0.018	53	FR	03-04
249.6515	0.021	54	FR	03-04
254.8725	0.013	55	FR	03-04
256.0545	0.016	56	FR	03-04
269.8195	0.033	57	FR	03-04
276.2455	0.0115	58	FR	03-04
280.8495	0.0115	59	FR	03-04
282.407	0.013	60	FR	03-04
288.1445	0.0155	61	FR	03-04
293.874	0.0115	62	FR	03-04
299.7455	0.0155	63	FR	03-04
381.735	0.018	64	FR	03-04
393.0535	0.0185	65	FR	03-04
15.6435	0.0125	66	FR	04-05
55.31	0.016	67	FR	04-05
109.439	0.0135	68	FR	04-05
145.2195	0.0195	69	FR	04-05
256.055	0.0195	70	FR	04-05
19.867	0.0255	71	FR	09-10
50.1445	0.0165	72	FR	09-10
60.809	0.0135	73	FR	09-10
117.0005	0.0155	74	FR	09-10
150.5655	0.018	75	FR	09-10
161.6785	0.0335	76	FR	09-10
264.2415	0.027	77	FR	09-10
269.7275	0.0115	78	FR	09-10
269.814	0.015	79	FR	09-10
274.879	0.013	80	FR	09-10
282.391	0.0095	81	FR	09-10
381.743	0.0135	82	FR	09-10
387.1405	0.0135	83	FR	09-10
394.042	0.0165	84	FR	09-10
396.839	0.013	85	FR	09-10
396.8605	0.014	86	FR	09-10
408.469	0.016	87	FR	09-10
60.8075	0.0145	88	FR	10-11
120.0075	0.0155	89	FR	10-11
381.739	0.02	90	FR	10-11
393.0505	0.02	91	FR	10-11
253.1055	0.0145	92	FR	11-12
403.1165	0.0165	93	FR	11-12
416.908	0.0205	94	FR	11-12
15.5245	0.02	95	FR	17-18
19.6765	0.0175	96	FR	17-18
