onset	duration	nEvent	EventType	channel
55.426	0.0125	97	FR	17-18
56.92	0.017	98	FR	17-18
60.906	0.023	99	FR	17-18
67.6505	0.0145	100	FR	17-18
73.114	0.019	101	FR	17-18
96.3525	0.018	102	FR	17-18
101.947	0.0175	103	FR	17-18
107.047	0.014	104	FR	17-18
128.8895	0.0235	105	FR	17-18
156.088	0.0165	106	FR	17-18
168.687	0.0135	107	FR	17-18
171.995	0.0145	108	FR	17-18
231.1455	0.0115	109	FR	17-18
266.0655	0.0185	110	FR	17-18
268.5455	0.021	111	FR	17-18
269.997	0.0105	112	FR	17-18
290.909	0.017	113	FR	17-18
297.8775	0.0135	114	FR	17-18
395.5055	0.0195	115	FR	17-18
405.0085	0.014	116	FR	17-18
410.005	0.021	117	FR	17-18
71.5355	0.0105	118	FR	18-19
83.8285	0.012	119	FR	18-19
96.363	0.011	120	FR	18-19
152.072	0.0145	121	FR	18-19
180.0365	0.0135	122	FR	18-19
381.7335	0.0265	123	FR	18-19
390.109	0.025	124	FR	18-19
11.439	0.011	125	FR	19-20
15.4025	0.01	126	FR	19-20
58.5455	0.0135	127	FR	19-20
219.0175	0.0125	128	FR	19-20
282.411	0.014	129	FR	19-20
3.4505	0.0165	130	FR	25-26
11.457	0.0185	131	FR	25-26
15.5055	0.054	132	FR	25-26
50.1205	0.0285	133	FR	25-26
53.898	0.0245	134	FR	25-26
56.905	0.0275	135	FR	25-26
60.8955	0.024	136	FR	25-26
66.07	0.0155	137	FR	25-26
67.6425	0.03	138	FR	25-26
71.4275	0.0175	139	FR	25-26
73.1145	0.015	140	FR	25-26
74.971	0.016	141	FR	25-26
80.146	0.013	142	FR	25-26
88.6995	0.0205	143	FR	25-26
94.6825	0.0305	144	FR	25-26
96.354	0.0205	145	FR	25-26
98.9955	0.016	146	FR	25-26
134.2855	0.023	147	FR	25-26
136.002	0.013	148	FR	25-26
137.622	0.022	149	FR	25-26
143.4595	0.03	150	FR	25-26
152.162	0.0205	151	FR	25-26
161.6525	0.031	152	FR	25-26
164.0485	0.014	153	FR	25-26
168.6865	0.0175	154	FR	25-26
170.2235	0.0135	155	FR	25-26
171.9905	0.0235	156	FR	25-26
176.1825	0.022	157	FR	25-26
176.3345	0.023	158	FR	25-26
180.0385	0.0205	159	FR	25-26
187.448	0.016	160	FR	25-26
210.7885	0.0105	161	FR	25-26
215.174	0.0155	162	FR	25-26
219.0375	0.0195	163	FR	25-26
222.281	0.0235	164	FR	25-26
225.972	0.023	165	FR	25-26
229.142	0.0275	166	FR	25-26
232.873	0.0285	167	FR	25-26
235.045	0.0245	168	FR	25-26
238.2255	0.0195	169	FR	25-26
239.5185	0.015	170	FR	25-26
245.5475	0.016	171	FR	25-26
246.9405	0.0185	172	FR	25-26
257.07	0.03	173	FR	25-26
259.523	0.012	174	FR	25-26
260.9505	0.0385	175	FR	25-26
264.1915	0.015	176	FR	25-26
266.0525	0.0365	177	FR	25-26
272.933	0.016	178	FR	25-26
274.854	0.03	179	FR	25-26
277.942	0.014	180	FR	25-26
281.035	0.0185	181	FR	25-26
282.488	0.02	182	FR	25-26
283.9305	0.013	183	FR	25-26
288.1055	0.0305	184	FR	25-26
290.8945	0.044	185	FR	25-26
292.2135	0.0275	186	FR	25-26
297.8755	0.012	187	FR	25-26
299.8515	0.015	188	FR	25-26
385.2485	0.0395	189	FR	25-26
393.93	0.0245	190	FR	25-26
396.819	0.0355	191	FR	25-26
403.073	0.013	192	FR	25-26
410.0065	0.0135	193	FR	25-26
413.493	0.024	194	FR	25-26
415.0685	0.027	195	FR	25-26
3.428	0.013	196	FR	26-27
11.457	0.0175	197	FR	26-27
58.5625	0.0245	198	FR	26-27
60.904	0.011	199	FR	26-27
67.642	0.027	200	FR	26-27
73.099	0.0345	201	FR	26-27
74.969	0.0145	202	FR	26-27
121.6665	0.019	203	FR	26-27
128.9005	0.023	204	FR	26-27
134.2625	0.0345	205	FR	26-27
137.6035	0.028	206	FR	26-27
161.6605	0.0115	207	FR	26-27
171.9995	0.0115	208	FR	26-27
229.1445	0.0125	209	FR	26-27
232.8825	0.0155	210	FR	26-27
235.046	0.0185	211	FR	26-27
276.264	0.0165	212	FR	26-27
283.899	0.019	213	FR	26-27
283.9235	0.0265	214	FR	26-27
288.1105	0.0115	215	FR	26-27
396.814	0.023	216	FR	26-27
401.637	0.017	217	FR	26-27
403.079	0.03	218	FR	26-27
411.282	0.035	219	FR	26-27
415.066	0.0125	220	FR	26-27
3.433	0.0115	221	FR	27-28
58.5435	0.018	222	FR	27-28
83.794	0.0265	223	FR	27-28
88.673	0.01	224	FR	27-28
121.655	0.0225	225	FR	27-28
128.885	0.031	226	FR	27-28
219.02	0.0215	227	FR	27-28
239.496	0.019	228	FR	27-28
383.057	0.015	229	FR	27-28
385.254	0.022	230	FR	27-28
396.8165	0.022	231	FR	27-28
