onset	duration	nEvent	EventType	channel
66.268	0.012	1	FR	04-05
97.504	0.012	2	FR	04-05
175.4905	0.0115	3	FR	04-05
6.271	0.0125	4	FR	05-06
28.9435	0.0205	5	FR	05-06
31.2635	0.0185	6	FR	05-06
36.3235	0.0125	7	FR	05-06
40.2035	0.0135	8	FR	05-06
47.499	0.015	9	FR	05-06
80.3045	0.0175	10	FR	05-06
89.345	0.0175	11	FR	05-06
90.0795	0.0145	12	FR	05-06
97.502	0.0145	13	FR	05-06
195.71	0.013	14	FR	05-06
216.1075	0.0145	15	FR	05-06
218.0855	0.0135	16	FR	05-06
42.303	0.016	17	FR	11-12
80.3005	0.0215	18	FR	11-12
195.706	0.0215	19	FR	11-12
218.0825	0.0175	20	FR	11-12
288.4865	0.0125	21	FR	11-12
0.6	0.021	22	FR	12-13
4.9765	0.0135	23	FR	12-13
49.6835	0.017	24	FR	12-13
68.4555	0.0205	25	FR	12-13
92.911	0.0185	26	FR	12-13
111.8555	0.02	27	FR	12-13
133.353	0.0135	28	FR	12-13
159.5075	0.0155	29	FR	12-13
169.479	0.019	30	FR	12-13
171.6635	0.0115	31	FR	12-13
189.7205	0.0135	32	FR	12-13
191.809	0.015	33	FR	12-13
205.3965	0.0165	34	FR	12-13
207.5575	0.013	35	FR	12-13
220.488	0.0195	36	FR	12-13
233.6075	0.022	37	FR	12-13
295.8005	0.0145	38	FR	12-13
28.943	0.022	39	FR	13-14
31.2625	0.0195	40	FR	13-14
33.71	0.0165	41	FR	13-14
47.499	0.018	42	FR	13-14
73.9285	0.012	43	FR	13-14
80.297	0.0255	44	FR	13-14
89.3455	0.019	45	FR	13-14
97.4915	0.0285	46	FR	13-14
195.709	0.013	47	FR	13-14
216.1035	0.019	48	FR	13-14
218.086	0.013	49	FR	13-14
235.616	0.0165	50	FR	13-14
250.4365	0.013	51	FR	13-14
277.0725	0.011	52	FR	13-14
277.864	0.01	53	FR	13-14
286.414	0.0115	54	FR	13-14
19.711	0.013	55	FR	14-15
35.0245	0.014	56	FR	14-15
178.841	0.0175	57	FR	14-15
201.7775	0.0145	58	FR	14-15
215.7875	0.029	59	FR	14-15
226.3375	0.014	60	FR	14-15
43.455	0.0185	61	FR	15-16
201.7775	0.0145	62	FR	15-16
215.788	0.019	63	FR	15-16
111.855	0.0105	64	FR	20-21
161.74	0.013	65	FR	20-21
189.7155	0.019	66	FR	20-21
226.333	0.0175	67	FR	20-21
111.2745	0.0105	68	FR	23-24
151.6505	0.0135	69	FR	23-24
292.4155	0.0125	70	FR	23-24
