onset	duration	nEvent	EventType	channel
14.778	0.0315	1	FR	01-02
19.479	0.01	2	FR	01-02
24.8075	0.028	3	FR	01-02
43.856	0.0335	4	FR	01-02
56.8025	0.0255	5	FR	01-02
71.18	0.0285	6	FR	01-02
81.2415	0.02	7	FR	01-02
14.7945	0.0145	8	FR	03-04
70.4	0.012	9	FR	03-04
80.851	0.014	10	FR	03-04
84.9015	0.018	11	FR	05-06
38.4735	0.013	12	FR	06-07
84.902	0.017	13	FR	06-07
43.874	0.03	14	FR	09-10
3.3325	0.0265	15	FR	11-12
4.421	0.0215	16	FR	11-12
26.886	0.0475	17	FR	11-12
29.314	0.0195	18	FR	11-12
29.4795	0.0255	19	FR	11-12
30.86	0.024	20	FR	11-12
41.934	0.032	21	FR	11-12
43.89	0.0195	22	FR	11-12
50.702	0.0265	23	FR	11-12
70.373	0.039	24	FR	11-12
82.5205	0.014	25	FR	11-12
3.321	0.0495	26	FR	12-13
4.421	0.0225	27	FR	12-13
17.979	0.0165	28	FR	12-13
18.2305	0.015	29	FR	12-13
26.8895	0.0435	30	FR	12-13
29.3115	0.0215	31	FR	12-13
29.481	0.0235	32	FR	12-13
30.862	0.0225	33	FR	12-13
35.434	0.0155	34	FR	12-13
41.9345	0.0315	35	FR	12-13
50.704	0.025	36	FR	12-13
70.3865	0.0135	37	FR	12-13
93.395	0.0095	38	FR	15-16
12.3085	0.016	39	FR	27-28
16.3055	0.0435	40	FR	27-28
22.048	0.0305	41	FR	27-28
38.2995	0.0135	42	FR	27-28
45.7805	0.0125	43	FR	27-28
50.5585	0.015	44	FR	27-28
66.931	0.0165	45	FR	27-28
87.5215	0.021	46	FR	27-28
92.7155	0.017	47	FR	27-28
93.7735	0.0225	48	FR	27-28
2.0785	0.0185	49	FR	28-29
3.952	0.014	50	FR	28-29
12.315	0.0185	51	FR	28-29
12.8095	0.0105	52	FR	28-29
16.2995	0.051	53	FR	28-29
21.5165	0.014	54	FR	28-29
22.05	0.039	55	FR	28-29
31.147	0.0195	56	FR	28-29
35.1525	0.0145	57	FR	28-29
38.301	0.0115	58	FR	28-29
50.558	0.016	59	FR	28-29
93.7865	0.025	60	FR	28-29
2.072	0.012	61	FR	29-30
16.327	0.015	62	FR	29-30
38.301	0.0115	63	FR	29-30
