name	x	y	z	size	inteElectrodeDistance	manufacturer
01-02	n/a	n/a	n/a	2.3	5	AdTech
02-03	n/a	n/a	n/a	2.3	5	AdTech
03-04	n/a	n/a	n/a	2.3	5	AdTech
04-05	n/a	n/a	n/a	2.3	5	AdTech
05-06	n/a	n/a	n/a	2.3	5	AdTech
06-07	n/a	n/a	n/a	2.3	5	AdTech
07-08	n/a	n/a	n/a	2.3	5	AdTech
13-14	n/a	n/a	n/a	2.3	5	AdTech
14-15	n/a	n/a	n/a	2.3	5	AdTech
15-16	n/a	n/a	n/a	2.3	5	AdTech
22-23	n/a	n/a	n/a	2.3	5	AdTech
23-24	n/a	n/a	n/a	2.3	5	AdTech
27-28	n/a	n/a	n/a	2.3	5	AdTech
30-31	n/a	n/a	n/a	2.3	5	AdTech
31-32	n/a	n/a	n/a	2.3	5	AdTech
