onset	duration	nEvent	EventType	channel
15.008	0.017	1	FR	1-4
31.965	0.0225	2	FR	1-4
34.8	0.012	3	FR	1-4
61.8535	0.012	4	FR	1-4
66.042	0.01	5	FR	1-4
67.722	0.017	6	FR	1-4
75.0645	0.0225	7	FR	1-4
80.206	0.0165	8	FR	1-4
86.317	0.0155	9	FR	1-4
99.695	0.023	10	FR	1-4
104.748	0.023	11	FR	1-4
108.7085	0.023	12	FR	1-4
114.3165	0.0155	13	FR	1-4
119.0135	0.011	14	FR	1-4
133.4035	0.0185	15	FR	1-4
137.9775	0.028	16	FR	1-4
142.932	0.02	17	FR	1-4
154.3995	0.0145	18	FR	1-4
169.191	0.0235	19	FR	1-4
176.2295	0.018	20	FR	1-4
181.9685	0.01	21	FR	1-4
183.9685	0.015	22	FR	1-4
192.7	0.0145	23	FR	1-4
199.7035	0.021	24	FR	1-4
206.3135	0.017	25	FR	1-4
213.4835	0.0205	26	FR	1-4
55.3755	0.012	27	FR	4-2
126.4875	0.021	28	FR	4-2
149.724	0.021	29	FR	4-2
32.03	0.013	30	FR	2-3
104.977	0.0155	31	FR	2-3
149.7255	0.012	32	FR	2-3
