name	x	y	z	size	inteElectrodeDistance	manufacturer
1-4	n/a	n/a	n/a	5	10	AdTech
4-2	n/a	n/a	n/a	5	10	AdTech
2-3	n/a	n/a	n/a	5	10	AdTech
