onset	duration	nEvent	EventType	channel
145.7675	0.0145	1	FR	04-05
40.469	0.0215	2	FR	06-07
202.3115	0.0135	3	FR	06-07
102.9475	0.019	4	FR	12-13
47.917	0.0135	5	FR	15-16
103.6565	0.0165	6	FR	15-16
172.075	0.02	7	FR	15-16
198.5165	0.0215	8	FR	19-20
34.9215	0.0175	9	FR	20-21
93.374	0.0185	10	FR	20-21
67.6935	0.013	11	FR	21-22
145.3945	0.02	12	FR	21-22
60.335	0.0135	13	FR	22-23
62.517	0.018	14	FR	22-23
62.61	0.011	15	FR	22-23
124.3495	0.0165	16	FR	22-23
145.39	0.024	17	FR	22-23
157.605	0.0205	18	FR	24-25
169.3125	0.0125	19	FR	24-25
195.5065	0.019	20	FR	24-25
47.495	0.015	21	FR	25-26
60.3305	0.015	22	FR	25-26
