onset	duration	nEvent	EventType	channel
216.445	0.013	1	FR	09-10
1.3045	0.0165	2	FR	13-14
6.2195	0.0175	3	FR	13-14
9.7775	0.0175	4	FR	13-14
16.628	0.0105	5	FR	13-14
21.532	0.018	6	FR	13-14
28.394	0.0115	7	FR	13-14
32.026	0.026	8	FR	13-14
36.487	0.0125	9	FR	13-14
36.895	0.0095	10	FR	13-14
38.7225	0.0135	11	FR	13-14
41.7575	0.0175	12	FR	13-14
42.657	0.014	13	FR	13-14
44.239	0.014	14	FR	13-14
44.6925	0.0135	15	FR	13-14
46.319	0.0205	16	FR	13-14
49.6765	0.0115	17	FR	13-14
50.5745	0.014	18	FR	13-14
60.4505	0.01	19	FR	13-14
64.1405	0.012	20	FR	13-14
68.171	0.015	21	FR	13-14
70.6435	0.0105	22	FR	13-14
74.464	0.013	23	FR	13-14
76.4385	0.014	24	FR	13-14
78.091	0.0135	25	FR	13-14
83.2745	0.02	26	FR	13-14
83.501	0.014	27	FR	13-14
84.4605	0.012	28	FR	13-14
85.1505	0.017	29	FR	13-14
90.061	0.023	30	FR	13-14
92.136	0.016	31	FR	13-14
94.5595	0.0155	32	FR	13-14
96.227	0.0245	33	FR	13-14
96.654	0.0095	34	FR	13-14
98.4615	0.0135	35	FR	13-14
102.0915	0.0135	36	FR	13-14
124.9335	0.011	37	FR	13-14
127.258	0.02	38	FR	13-14
131.33	0.0135	39	FR	13-14
139.9995	0.014	40	FR	13-14
140.4225	0.015	41	FR	13-14
143.105	0.016	42	FR	13-14
150.662	0.021	43	FR	13-14
152.687	0.0165	44	FR	13-14
154.387	0.014	45	FR	13-14
161.343	0.0155	46	FR	13-14
161.996	0.0165	47	FR	13-14
173.1	0.0165	48	FR	13-14
175.7655	0.012	49	FR	13-14
178.413	0.02	50	FR	13-14
180.4565	0.02	51	FR	13-14
181.3505	0.017	52	FR	13-14
185.969	0.0105	53	FR	13-14
193.1595	0.012	54	FR	13-14
198.892	0.0185	55	FR	13-14
201.152	0.0145	56	FR	13-14
207.9115	0.012	57	FR	13-14
212.3515	0.0215	58	FR	13-14
213.5245	0.013	59	FR	13-14
214.985	0.014	60	FR	13-14
3.35	0.017	61	FR	14-15
5.221	0.015	62	FR	14-15
10.0925	0.0125	63	FR	14-15
14	0.014	64	FR	14-15
16.622	0.016	65	FR	14-15
21.5375	0.018	66	FR	14-15
23.233	0.019	67	FR	14-15
25.628	0.0115	68	FR	14-15
32.038	0.0155	69	FR	14-15
36.493	0.0115	70	FR	14-15
39.619	0.011	71	FR	14-15
42.6575	0.0125	72	FR	14-15
44.6915	0.0145	73	FR	14-15
45.536	0.017	74	FR	14-15
48.183	0.0135	75	FR	14-15
49.671	0.0235	76	FR	14-15
53.567	0.011	77	FR	14-15
59.118	0.0205	78	FR	14-15
60.4525	0.0115	79	FR	14-15
64.14	0.0125	80	FR	14-15
65.356	0.016	81	FR	14-15
66.1025	0.026	82	FR	14-15
68.9165	0.0155	83	FR	14-15
70.2965	0.0185	84	FR	14-15
71.131	0.0155	85	FR	14-15
72.253	0.02	86	FR	14-15
77.099	0.019	87	FR	14-15
78.0855	0.021	88	FR	14-15
82.1295	0.013	89	FR	14-15
83.273	0.0205	90	FR	14-15
84.461	0.012	91	FR	14-15
85.155	0.0125	92	FR	14-15
90.0715	0.0135	93	FR	14-15
90.759	0.014	94	FR	14-15
92.139	0.012	95	FR	14-15
96.2325	0.0185	96	FR	14-15
98.932	0.015	97	FR	14-15
102.0905	0.0125	98	FR	14-15
103.7035	0.0195	99	FR	14-15
104.4525	0.019	100	FR	14-15
120.157	0.0125	101	FR	14-15
124.111	0.021	102	FR	14-15
127.2645	0.0155	103	FR	14-15
132.3725	0.012	104	FR	14-15
139.0095	0.014	105	FR	14-15
139.9995	0.0135	106	FR	14-15
140.7215	0.0255	107	FR	14-15
141.564	0.015	108	FR	14-15
142.029	0.016	109	FR	14-15
143.105	0.0125	110	FR	14-15
144.0875	0.015	111	FR	14-15
145.074	0.018	112	FR	14-15
153.4875	0.011	113	FR	14-15
153.736	0.0115	114	FR	14-15
158.0745	0.0185	115	FR	14-15
160.1415	0.0095	116	FR	14-15
161.3465	0.0115	117	FR	14-15
163.977	0.0135	118	FR	14-15
172.2475	0.0125	119	FR	14-15
173.6135	0.0185	120	FR	14-15
174.608	0.0165	121	FR	14-15
175.466	0.014	122	FR	14-15
175.76	0.0175	123	FR	14-15
180.456	0.025	124	FR	14-15
191.1485	0.0155	125	FR	14-15
191.531	0.0105	126	FR	14-15
192.195	0.0205	127	FR	14-15
194.444	0.0135	128	FR	14-15
194.8265	0.023	129	FR	14-15
196.3065	0.0175	130	FR	14-15
199.209	0.014	131	FR	14-15
200.2755	0.011	132	FR	14-15
200.7025	0.0135	133	FR	14-15
201.1525	0.0165	134	FR	14-15
211.558	0.016	135	FR	14-15
212.3575	0.018	136	FR	14-15
213.5245	0.0195	137	FR	14-15
214.5335	0.015	138	FR	14-15
214.99	0.013	139	FR	14-15
96.6505	0.0145	140	FR	15-16
69.954	0.0125	141	FR	17-18
76.7325	0.011	142	FR	17-18
143.4065	0.015	143	FR	17-18
147.707	0.0165	144	FR	17-18
161.934	0.011	145	FR	17-18
180.0085	0.018	146	FR	17-18
206.649	0.0125	147	FR	17-18
1.6645	0.011	148	FR	21-22
4.2805	0.0145	149	FR	21-22
11.622	0.021	150	FR	21-22
16.613	0.019	151	FR	21-22
39.7865	0.014	152	FR	21-22
65.3575	0.0115	153	FR	21-22
68.6165	0.0195	154	FR	21-22
77.777	0.019	155	FR	21-22
92.1345	0.0115	156	FR	21-22
98.1885	0.0175	157	FR	21-22
130.4675	0.0185	158	FR	21-22
132.604	0.018	159	FR	21-22
134.8045	0.0115	160	FR	21-22
173.952	0.012	161	FR	21-22
174.323	0.0135	162	FR	21-22
184.012	0.02	163	FR	21-22
192.481	0.014	164	FR	21-22
2.0675	0.01	165	FR	22-23
10.442	0.0185	166	FR	22-23
17.538	0.0155	167	FR	22-23
21.5315	0.021	168	FR	22-23
49.672	0.0195	169	FR	22-23
71.4965	0.0175	170	FR	22-23
76.433	0.018	171	FR	22-23
82.967	0.0225	172	FR	22-23
87.8245	0.0245	173	FR	22-23
93.725	0.0165	174	FR	22-23
104.4495	0.0175	175	FR	22-23
119.3145	0.017	176	FR	22-23
159.3035	0.0145	177	FR	22-23
161.3425	0.0185	178	FR	22-23
192.199	0.0185	179	FR	22-23
196.3035	0.016	180	FR	22-23
200.6995	0.012	181	FR	22-23
201.149	0.0165	182	FR	22-23
